,pathological_score
299,30.06700827725126
300,31.68163834623101
301,30.695035844973972
302,27.129438314332788
303,27.07484398148381
304,25.355679002620946
305,28.142968867913964
306,34.69265364914804
307,40.00018537654171
308,41.5877888359546
309,30.862822399797096
310,29.650359164355677
311,29.75412192432998
312,28.776388575829515
313,42.57125762866565
